Crop,CropGDD,Year,pdate,per_planted,eme,per_eme,silking,per_silking,heading,per_heading,mat,per_mat,har,per_hav,late_har,notes,additional_notes
Maize,MaizeGDD,2006,2006-04-20,50,2006-05-10,50,2006-07-10,50,,,2006-09-05,50,2006-09-25,50,2006-11-20,State,
Maize,MaizeGDD,2007,2007-05-13,67,2007-05-20,42,2007-07-22,79,,,2007-09-09,49,2007-10-07,50,2007-11-11,NW KS,
Maize,MaizeGDD,2008,2008-05-18,81,2008-05-25,43,2008-07-13,45,,,2008-09-28,47,2008-11-02,50,2008-12-07,NW KS,
Maize,MaizeGDD,2009,2009-04-17,62,2009-05-24,66,2009-07-19,35,,,2009-09-27,66,2009-11-08,44,2009-12-20,NW KS,adjusted from may to increase gdd
Maize,MaizeGDD,2010,2010-05-16,70,2010-05-30,55,2010-07-18,46,,,2010-09-12,40,2010-10-03,42,2010-11-07,NW KS,
Maize,MaizeGDD,2011,2011-05-15,72,2011-05-29,54,2011-07-24,45,,,2011-09-18,45,2011-10-16,50,2011-11-13,NW KS,
Maize,MaizeGDD,2012,2012-05-06,50,2012-05-13,46,2012-07-22,67,,,2012-09-16,64,2012-09-30,48,2012-10-28,NW KS,
Maize,MaizeGDD,2013,2013-05-19,63,2013-05-26,52,2013-07-28,58,,,2013-09-22,56,2013-09-20,50,2013-11-17,NW KS,
Maize,MaizeGDD,2014,2014-05-11,50,2014-05-25,47,2014-07-20,41,,,2014-09-28,52,2014-10-19,44,2014-11-23,NW KS,
Maize,MaizeGDD,2015,2015-05-17,60,2015-05-31,42,2015-07-26,53,,,2015-09-20,47,2015-10-11,57,2015-11-15,NW KS,
Maize,MaizeGDD,2016,2016-05-22,72,2016-06-05,66,2016-07-24,62,,,2016-09-19,44,2016-10-16,53,2016-11-13,NW KS,
Maize,MaizeGDD,2017,2017-05-28,43,2017-06-11,62,2017-07-30,46,,,2017-09-24,49,2017-10-29,56,2017-11-26,NW KS,
Maize,MaizeGDD,2018,2018-05-20,54,2018-05-27,59,2018-07-22,55,,,2018-09-16,48,2018-10-28,53,2018-12-10,NW KS,
Maize,MaizeGDD,2019,2019-05-26,53,2019-06-09,54,2019-07-28,42,,,2019-09-29,56,2019-10-27,52,2019-11-24,NW KS,
Maize,MaizeGDD,2020,2020-05-17,52,2020-05-31,56,2020-07-26,47,,,2020-09-20,55,2020-10-11,45,2020-11-22,NW KS,
Sorghum,SorghumGDD,2006,2006-05-05,50,2006-06-19,,,,2006-08-03,50,2006-10-05,50,2006-10-27,50,2006-12-07,State,adjusted to may to increase gdd
Sorghum,SorghumGDD,2007,2007-06-10,77,2007-06-17,59,,,2007-08-12,60,2007-09-23,44,2007-10-21,67,2007-11-25,NW KS,
Sorghum,SorghumGDD,2008,2008-05-08,50,2008-06-22,46,,,2008-08-10,51,2008-10-12,44,2008-11-09,51,2008-12-07,NW KS,adjusted to may to increase gdd
Sorghum,SorghumGDD,2009,2009-05-05,47,2009-06-21,47,,,2009-08-09,38,2009-10-18,48,2009-11-22,52,2008-12-27,NW KS,adjusted to may to increase gdd
Sorghum,SorghumGDD,2010,2010-06-06,55,2010-06-20,60,,,2010-08-08,63,2010-09-26,43,2010-10-17,43,2010-11-28,NW KS,
Sorghum,SorghumGDD,2011,2011-06-05,43,2011-06-19,55,,,2011-08-07,52,2011-10-02,51,2011-10-30,52,2011-12-04,NW KS,
Sorghum,SorghumGDD,2012,2012-05-27,48,2012-06-10,61,,,2012-08-05,58,2012-10-07,55,2012-10-28,62,2012-11-25,NW KS,
Sorghum,SorghumGDD,2013,2013-06-02,50,2013-06-16,54,,,2013-08-11,63,2013-10-08,50,2013-10-27,55,2013-12-01,NW KS,
Sorghum,SorghumGDD,2014,2014-06-01,47,2014-06-15,54,,,2014-08-10,51,2014-10-05,44,2014-11-02,46,2014-12-07,NW KS,
Sorghum,SorghumGDD,2015,2015-06-07,48,2015-06-14,44,,,2015-08-09,60,2015-10-18,50,2015-10-18,50,2015-11-29,NW KS,
Sorghum,SorghumGDD,2016,2016-06-05,41,2016-06-12,,,,2016-07-31,51,2016-10-02,58,2016-10-16,40,2016-11-27,NW KS,"no data for emerged, but ~50% emergence for other yrs occurred 14 days after planting, so 14 days is used"
Sorghum,SorghumGDD,2017,2017-05-18,77,2017-06-25,69,,,2017-08-13,49,2017-10-15,61,2018-11-08,45,2017-12-07,NW KS,
Sorghum,SorghumGDD,2018,2018-05-10,69,2018-06-18,50,,,2018-08-01,50,2018-10-01,50,2017-11-06,50,2018-12-15,State,
Sorghum,SorghumGDD,2019,2019-05-16,55,2019-06-30,,,,2019-08-10,50,2019-10-08,50,2019-10-20,50,2020-12-01,State,
Sorghum,SorghumGDD,2020,2020-05-08,51,2020-06-22,,,,2020-08-03,50,2020-09-25,50,2020-10-15,50,2019-12-02,State,