,County,Year,crop Type,crop Name,irrig_depth
0,Cheyenne,2006,MaizeGDD,Maize,455.0607305
1,Cheyenne,2007,MaizeGDD,Maize,440.2438521
2,Cheyenne,2008,MaizeGDD,Maize,441.5294349
3,Cheyenne,2009,MaizeGDD,Maize,332.7514329
4,Cheyenne,2010,MaizeGDD,Maize,347.0603026
5,Cheyenne,2011,MaizeGDD,Maize,389.2554041
6,Cheyenne,2012,MaizeGDD,Maize,501.8447442
7,Cheyenne,2013,MaizeGDD,Maize,494.6604107
8,Cheyenne,2014,MaizeGDD,Maize,328.953354
9,Cheyenne,2015,MaizeGDD,Maize,408.2473256
10,Cheyenne,2016,MaizeGDD,Maize,334.9503463
11,Cheyenne,2017,MaizeGDD,Maize,306.9338011
12,Cheyenne,2018,MaizeGDD,Maize,285.5143123
13,Cheyenne,2019,MaizeGDD,Maize,273.7542404
15,Cheyenne,2020,MaizeGDD,Maize,372.7871711
16,Decatur,2006,MaizeGDD,Maize,376.2460007
17,Decatur,2007,MaizeGDD,Maize,379.9486769
18,Decatur,2008,MaizeGDD,Maize,267.6882684
19,Decatur,2009,MaizeGDD,Maize,237.6319484
20,Decatur,2010,MaizeGDD,Maize,254.8020241
21,Decatur,2011,MaizeGDD,Maize,378.8702538
22,Decatur,2012,MaizeGDD,Maize,496.3086012
23,Decatur,2013,MaizeGDD,Maize,369.6992088
24,Decatur,2014,MaizeGDD,Maize,394.5193675
25,Decatur,2015,MaizeGDD,Maize,361.845696
26,Decatur,2016,MaizeGDD,Maize,373.4209494
27,Decatur,2017,MaizeGDD,Maize,360.4167248
28,Decatur,2018,MaizeGDD,Maize,221.5993332
29,Decatur,2019,MaizeGDD,Maize,110.4436408
30,Decatur,2020,MaizeGDD,Maize,349.5069048
31,Gove,2006,MaizeGDD,Maize,377.3130305
33,Gove,2007,MaizeGDD,Maize,315.1808933
35,Gove,2008,MaizeGDD,Maize,322.6873762
36,Gove,2009,MaizeGDD,Maize,273.6480803
38,Gove,2010,MaizeGDD,Maize,319.0737703
40,Gove,2011,MaizeGDD,Maize,383.0765002
41,Gove,2012,MaizeGDD,Maize,419.2610933
42,Gove,2013,MaizeGDD,Maize,390.2591239
44,Gove,2014,MaizeGDD,Maize,331.8517766
46,Gove,2015,MaizeGDD,Maize,337.808013
48,Gove,2016,MaizeGDD,Maize,303.3582055
49,Gove,2017,MaizeGDD,Maize,293.3850809
50,Gove,2018,MaizeGDD,Maize,178.6866167
51,Gove,2019,MaizeGDD,Maize,162.3716377
52,Gove,2020,MaizeGDD,Maize,292.8223461
53,Graham,2006,MaizeGDD,Maize,347.0511215
54,Graham,2007,MaizeGDD,Maize,305.5037983
56,Graham,2008,MaizeGDD,Maize,280.279536
58,Graham,2009,MaizeGDD,Maize,245.2441266
59,Graham,2010,MaizeGDD,Maize,381.1204267
61,Graham,2011,MaizeGDD,Maize,317.4092182
63,Graham,2012,MaizeGDD,Maize,437.1224523
65,Graham,2013,MaizeGDD,Maize,451.5641701
67,Graham,2014,MaizeGDD,Maize,368.0802636
69,Graham,2015,MaizeGDD,Maize,334.0255652
71,Graham,2016,MaizeGDD,Maize,295.4587785
73,Graham,2017,MaizeGDD,Maize,290.0310091
75,Graham,2018,MaizeGDD,Maize,208.4243773
76,Graham,2019,MaizeGDD,Maize,205.3373339
77,Graham,2020,MaizeGDD,Maize,254.9604762
78,Logan,2006,MaizeGDD,Maize,389.875081
79,Logan,2007,MaizeGDD,Maize,428.8871971
80,Logan,2008,MaizeGDD,Maize,400.8910778
81,Logan,2009,MaizeGDD,Maize,239.2252511
82,Logan,2010,MaizeGDD,Maize,333.8831184
83,Logan,2011,MaizeGDD,Maize,396.4769224
84,Logan,2012,MaizeGDD,Maize,473.0892935
85,Logan,2013,MaizeGDD,Maize,389.0710537
86,Logan,2014,MaizeGDD,Maize,360.5577702
87,Logan,2015,MaizeGDD,Maize,306.1901298
88,Logan,2016,MaizeGDD,Maize,297.5445871
89,Logan,2017,MaizeGDD,Maize,249.4164893
90,Logan,2018,MaizeGDD,Maize,320.1668401
91,Logan,2019,MaizeGDD,Maize,195.2470852
92,Logan,2020,MaizeGDD,Maize,300.8158651
93,Rawlins,2006,MaizeGDD,Maize,421.4613375
95,Rawlins,2007,MaizeGDD,Maize,375.7564655
96,Rawlins,2008,MaizeGDD,Maize,339.5753511
97,Rawlins,2009,MaizeGDD,Maize,273.6609251
98,Rawlins,2010,MaizeGDD,Maize,296.2550715
99,Rawlins,2011,MaizeGDD,Maize,355.0219933
100,Rawlins,2012,MaizeGDD,Maize,455.1140355
101,Rawlins,2013,MaizeGDD,Maize,423.3652693
103,Rawlins,2014,MaizeGDD,Maize,318.1505
105,Rawlins,2015,MaizeGDD,Maize,356.4393735
107,Rawlins,2016,MaizeGDD,Maize,313.9468692
108,Rawlins,2017,MaizeGDD,Maize,287.6500668
109,Rawlins,2018,MaizeGDD,Maize,286.7103778
110,Rawlins,2019,MaizeGDD,Maize,204.5713218
111,Rawlins,2020,MaizeGDD,Maize,330.0194066
112,Sheridan,2006,MaizeGDD,Maize,349.372997
114,Sheridan,2007,MaizeGDD,Maize,354.5514223
116,Sheridan,2008,MaizeGDD,Maize,334.0560841
118,Sheridan,2009,MaizeGDD,Maize,264.8841317
120,Sheridan,2010,MaizeGDD,Maize,331.9622652
122,Sheridan,2011,MaizeGDD,Maize,334.8489299
124,Sheridan,2012,MaizeGDD,Maize,417.6742394
126,Sheridan,2013,MaizeGDD,Maize,337.2888246
128,Sheridan,2014,MaizeGDD,Maize,322.7278108
130,Sheridan,2015,MaizeGDD,Maize,295.2924583
132,Sheridan,2016,MaizeGDD,Maize,293.0791775
134,Sheridan,2017,MaizeGDD,Maize,229.3355157
136,Sheridan,2018,MaizeGDD,Maize,230.3520238
138,Sheridan,2019,MaizeGDD,Maize,164.9654306
140,Sheridan,2020,MaizeGDD,Maize,287.9795725
142,Sherman,2006,MaizeGDD,Maize,449.081492
144,Sherman,2007,MaizeGDD,Maize,420.8790332
146,Sherman,2008,MaizeGDD,Maize,415.7178377
148,Sherman,2009,MaizeGDD,Maize,336.3559746
150,Sherman,2010,MaizeGDD,Maize,359.0539652
152,Sherman,2011,MaizeGDD,Maize,434.9449438
153,Sherman,2012,MaizeGDD,Maize,515.7458256
154,Sherman,2013,MaizeGDD,Maize,481.8706772
156,Sherman,2014,MaizeGDD,Maize,384.4620514
158,Sherman,2015,MaizeGDD,Maize,390.3886222
160,Sherman,2016,MaizeGDD,Maize,358.7273467
162,Sherman,2017,MaizeGDD,Maize,277.0867591
164,Sherman,2018,MaizeGDD,Maize,241.7390383
166,Sherman,2019,MaizeGDD,Maize,247.6433984
168,Sherman,2020,MaizeGDD,Maize,364.4413432
170,Thomas,2006,MaizeGDD,Maize,431.7557673
172,Thomas,2007,MaizeGDD,Maize,372.7188038
174,Thomas,2008,MaizeGDD,Maize,367.1607529
175,Thomas,2009,MaizeGDD,Maize,248.533131
177,Thomas,2010,MaizeGDD,Maize,316.5851006
178,Thomas,2011,MaizeGDD,Maize,390.0749446
179,Thomas,2012,MaizeGDD,Maize,461.8469691
180,Thomas,2013,MaizeGDD,Maize,412.3963481
182,Thomas,2014,MaizeGDD,Maize,355.0097978
184,Thomas,2015,MaizeGDD,Maize,331.5675988
186,Thomas,2016,MaizeGDD,Maize,337.5097854
188,Thomas,2017,MaizeGDD,Maize,263.1357981
190,Thomas,2018,MaizeGDD,Maize,238.7262618
192,Thomas,2019,MaizeGDD,Maize,186.9389789
193,Thomas,2020,MaizeGDD,Maize,327.551099
194,Wallace,2006,MaizeGDD,Maize,387.020448
195,Wallace,2012,MaizeGDD,Maize,513.2590807
196,Wallace,2017,MaizeGDD,Maize,166.9335716
197,Wallace,2018,MaizeGDD,Maize,222.8562304
198,Wallace,2019,MaizeGDD,Maize,211.8183252
199,Wallace,2020,MaizeGDD,Maize,314.0822196
32,Gove,2006,SorghumGDD,Sorghum,203.0944925
34,Gove,2007,SorghumGDD,Sorghum,134.5923433
37,Gove,2009,SorghumGDD,Sorghum,107.9989063
39,Gove,2010,SorghumGDD,Sorghum,283.5602876
43,Gove,2013,SorghumGDD,Sorghum,215.4732756
45,Gove,2014,SorghumGDD,Sorghum,289.673113
47,Gove,2015,SorghumGDD,Sorghum,324.7758357
55,Graham,2007,SorghumGDD,Sorghum,90.52503489
57,Graham,2008,SorghumGDD,Sorghum,46.8376
60,Graham,2010,SorghumGDD,Sorghum,94.70571429
62,Graham,2011,SorghumGDD,Sorghum,152.4
64,Graham,2012,SorghumGDD,Sorghum,444.8051398
66,Graham,2013,SorghumGDD,Sorghum,253.2158026
68,Graham,2014,SorghumGDD,Sorghum,193.3665424
70,Graham,2015,SorghumGDD,Sorghum,222.5009777
72,Graham,2016,SorghumGDD,Sorghum,93.50352703
74,Graham,2017,SorghumGDD,Sorghum,73.50847724
113,Sheridan,2006,SorghumGDD,Sorghum,181.7175124
115,Sheridan,2007,SorghumGDD,Sorghum,272.350061
117,Sheridan,2008,SorghumGDD,Sorghum,217.663417
119,Sheridan,2009,SorghumGDD,Sorghum,126.3291973
121,Sheridan,2010,SorghumGDD,Sorghum,359.1392187
123,Sheridan,2011,SorghumGDD,Sorghum,162.9137031
125,Sheridan,2012,SorghumGDD,Sorghum,181.2637003
127,Sheridan,2013,SorghumGDD,Sorghum,207.4813476
129,Sheridan,2014,SorghumGDD,Sorghum,201.5661266
131,Sheridan,2015,SorghumGDD,Sorghum,176.2211913
133,Sheridan,2016,SorghumGDD,Sorghum,148.7748652
135,Sheridan,2017,SorghumGDD,Sorghum,128.4571036
137,Sheridan,2018,SorghumGDD,Sorghum,209.9181356
139,Sheridan,2019,SorghumGDD,Sorghum,91.71287532
141,Sheridan,2020,SorghumGDD,Sorghum,196.7132646
143,Sherman,2006,SorghumGDD,Sorghum,200.3440613
145,Sherman,2007,SorghumGDD,Sorghum,237.035327
147,Sherman,2008,SorghumGDD,Sorghum,166.5198423
149,Sherman,2009,SorghumGDD,Sorghum,147.1715955
151,Sherman,2010,SorghumGDD,Sorghum,187.0075
155,Sherman,2013,SorghumGDD,Sorghum,240.0798238
157,Sherman,2014,SorghumGDD,Sorghum,107.1544779
159,Sherman,2015,SorghumGDD,Sorghum,163.7524995
161,Sherman,2016,SorghumGDD,Sorghum,265.3392857
163,Sherman,2017,SorghumGDD,Sorghum,202.383443
165,Sherman,2018,SorghumGDD,Sorghum,148.7109524
167,Sherman,2019,SorghumGDD,Sorghum,152.2226373
169,Sherman,2020,SorghumGDD,Sorghum,262.0270578
171,Thomas,2006,SorghumGDD,Sorghum,216.2510119
173,Thomas,2007,SorghumGDD,Sorghum,237.2001938
176,Thomas,2009,SorghumGDD,Sorghum,100.7860912
181,Thomas,2013,SorghumGDD,Sorghum,300.4541811
183,Thomas,2014,SorghumGDD,Sorghum,238.1827273
185,Thomas,2015,SorghumGDD,Sorghum,132.020471
187,Thomas,2016,SorghumGDD,Sorghum,158.8847771
189,Thomas,2017,SorghumGDD,Sorghum,113.0282859
191,Thomas,2018,SorghumGDD,Sorghum,81.31291403